id,name,weight,height,image,base_hp,base_attack,base_defense,base_special_defense,base_speed,base_special_attack,base_stat_total
14,kakuna,100,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png,45,25,50,25,35,25,205
15,beedrill,295,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png,65,90,40,80,75,45,395
16,pidgey,18,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png,40,45,40,35,56,35,251
17,pidgeotto,300,11,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png,63,60,55,50,71,50,349
18,pidgeot,395,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png,83,80,75,70,101,70,479
19,rattata,35,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png,30,56,35,35,72,25,253
20,raticate,185,7,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png,55,81,60,70,97,50,413
21,spearow,20,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png,40,60,30,31,70,31,262
22,fearow,380,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png,65,90,65,61,100,61,442
23,ekans,69,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png,35,60,44,54,55,40,288
24,arbok,650,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/24.png,60,95,69,79,80,65,448
25,pikachu,60,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png,35,55,40,50,90,50,320
26,raichu,300,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/26.png,60,90,55,80,110,90,485
27,sandshrew,120,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/27.png,50,75,85,30,40,20,300
28,sandslash,295,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/28.png,75,100,110,55,65,45,450
29,nidoran-f,70,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/29.png,55,47,52,40,41,40,275
30,nidorina,200,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/30.png,70,62,67,55,56,55,365
31,nidoqueen,600,13,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/31.png,90,92,87,85,76,75,505
32,nidoran-m,90,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/32.png,46,57,40,40,50,40,273
33,nidorino,195,9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/33.png,61,72,57,55,65,55,365
34,nidoking,620,14,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/34.png,81,102,77,75,85,85,505
35,clefairy,75,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/35.png,70,45,48,65,35,60,323
36,clefable,400,13,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/36.png,95,70,73,90,60,95,483
37,vulpix,99,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/37.png,38,41,40,65,65,50,299
38,ninetales,199,11,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/38.png,73,76,75,100,100,81,505
39,jigglypuff,55,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/39.png,115,45,20,25,20,45,270
40,wigglytuff,120,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/40.png,140,70,45,50,45,85,435
41,zubat,75,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/41.png,40,45,35,40,55,30,245
42,golbat,550,16,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/42.png,75,80,70,75,90,65,455
43,oddish,54,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/43.png,45,50,55,65,30,75,320
44,gloom,86,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/44.png,60,65,70,75,40,85,395
45,vileplume,186,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/45.png,75,80,85,90,50,110,490
46,paras,54,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/46.png,35,70,55,55,25,45,285
47,parasect,295,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/47.png,60,95,80,80,30,60,405
48,venonat,300,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/48.png,60,55,50,55,45,40,305
49,venomoth,125,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/49.png,70,65,60,75,90,90,450
50,diglett,8,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/50.png,10,55,25,45,95,35,265
51,dugtrio,333,7,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/51.png,35,100,50,70,120,50,425
52,meowth,42,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/52.png,40,45,35,40,90,40,290
53,persian,320,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/53.png,65,70,60,65,115,65,440
54,psyduck,196,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/54.png,50,52,48,50,55,65,320
55,golduck,766,17,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/55.png,80,82,78,80,85,95,500
56,mankey,280,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/56.png,40,80,35,45,70,35,305
57,primeape,320,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/57.png,65,105,60,70,95,60,455
58,growlithe,190,7,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/58.png,55,70,45,50,60,70,350
59,arcanine,1550,19,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/59.png,90,110,80,80,95,100,555
60,poliwag,124,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/60.png,40,50,40,40,90,40,300
61,poliwhirl,200,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/61.png,65,65,65,50,90,50,385
62,poliwrath,540,13,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/62.png,90,95,95,90,70,70,510
63,abra,195,9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/63.png,25,20,15,55,90,105,310
64,kadabra,565,13,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/64.png,40,35,30,70,105,120,400
65,alakazam,480,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/65.png,55,50,45,95,120,135,500
66,machop,195,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/66.png,70,80,50,35,35,35,305
67,machoke,705,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/67.png,80,100,70,60,45,50,405
68,machamp,1300,16,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/68.png,90,130,80,85,55,65,505
69,bellsprout,40,7,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/69.png,50,75,35,30,40,70,300
70,weepinbell,64,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/70.png,65,90,50,45,55,85,390
71,victreebel,155,17,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/71.png,80,105,65,70,70,100,490
72,tentacool,455,9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/72.png,40,40,35,100,70,50,335
73,tentacruel,550,16,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/73.png,80,70,65,120,100,80,515
74,geodude,200,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/74.png,40,80,100,30,20,30,300
75,graveler,1050,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/75.png,55,95,115,45,35,45,390
76,golem,3000,14,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/76.png,80,120,130,65,45,55,495
77,ponyta,300,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/77.png,50,85,55,65,90,65,410
78,rapidash,950,17,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/78.png,65,100,70,80,105,80,500
79,slowpoke,360,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/79.png,90,65,65,40,15,40,315
80,slowbro,785,16,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/80.png,95,75,110,80,30,100,490
81,magnemite,60,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/81.png,25,35,70,55,45,95,325
82,magneton,600,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/82.png,50,60,95,70,70,120,465
83,farfetchd,150,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/83.png,52,90,55,62,60,58,377
84,doduo,392,14,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/84.png,35,85,45,35,75,35,310
85,dodrio,852,18,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/85.png,60,110,70,60,110,60,470
86,seel,900,11,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/86.png,65,45,55,70,45,45,325
87,dewgong,1200,17,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/87.png,90,70,80,95,70,70,475
88,grimer,300,9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/88.png,80,80,50,50,25,40,325
89,muk,300,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/89.png,105,105,75,100,50,65,500
90,shellder,40,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/90.png,30,65,100,25,40,45,305
91,cloyster,1325,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/91.png,50,95,180,45,70,85,525
92,gastly,1,13,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/92.png,30,35,30,35,80,100,310
93,haunter,1,16,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/93.png,45,50,45,55,95,115,405
94,gengar,405,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/94.png,60,65,60,75,110,130,500
95,onix,2100,88,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/95.png,35,45,160,45,70,30,385
96,drowzee,324,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/96.png,60,48,45,90,42,43,328
97,hypno,756,16,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/97.png,85,73,70,115,67,73,483
98,krabby,65,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/98.png,30,105,90,25,50,25,325
99,kingler,600,13,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/99.png,55,130,115,50,75,50,475
100,voltorb,104,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/100.png,40,30,50,55,100,55,330
101,electrode,666,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/101.png,60,50,70,80,150,80,490
102,exeggcute,25,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/102.png,60,40,80,45,40,60,325
103,exeggutor,1200,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/103.png,95,95,85,75,55,125,530
104,cubone,65,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/104.png,50,50,95,50,35,40,320
105,marowak,450,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/105.png,60,80,110,80,45,50,425
106,hitmonlee,498,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/106.png,50,120,53,110,87,35,455
107,hitmonchan,502,14,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/107.png,50,105,79,110,76,35,455
108,lickitung,655,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/108.png,90,55,75,75,30,60,385
109,koffing,10,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/109.png,40,65,95,45,35,60,340
110,weezing,95,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/110.png,65,90,120,70,60,85,490
111,rhyhorn,1150,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/111.png,80,85,95,30,25,30,345
112,rhydon,1200,19,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/112.png,105,130,120,45,40,45,485
113,chansey,346,11,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/113.png,250,5,5,105,50,35,450
114,tangela,350,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/114.png,65,55,115,40,60,100,435
115,kangaskhan,800,22,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/115.png,105,95,80,80,90,40,490
116,horsea,80,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/116.png,30,40,70,25,60,70,295
117,seadra,250,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/117.png,55,65,95,45,85,95,440
118,goldeen,150,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/118.png,45,67,60,50,63,35,320
119,seaking,390,13,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/119.png,80,92,65,80,68,65,450
120,staryu,345,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/120.png,30,45,55,55,85,70,340
121,starmie,800,11,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/121.png,60,75,85,85,115,100,520
122,mr-mime,545,13,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/122.png,40,45,65,120,90,100,460
123,scyther,560,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/123.png,70,110,80,80,105,55,500
124,jynx,406,14,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/124.png,65,50,35,95,95,115,455
125,electabuzz,300,11,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/125.png,65,83,57,85,105,95,490
126,magmar,445,13,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/126.png,65,95,57,85,93,100,495
127,pinsir,550,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/127.png,65,125,100,70,85,55,500
128,tauros,884,14,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/128.png,75,100,95,70,110,40,490
129,magikarp,100,9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/129.png,20,10,55,20,80,15,200
130,gyarados,2350,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/130.png,95,125,79,100,81,60,540
131,lapras,2200,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/131.png,130,85,80,95,60,85,535
132,ditto,40,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/132.png,48,48,48,48,48,48,288
133,eevee,65,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/133.png,55,55,50,65,55,45,325
134,vaporeon,290,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/134.png,130,65,60,95,65,110,525
135,jolteon,245,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/135.png,65,65,60,95,130,110,525
136,flareon,250,9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/136.png,65,130,60,110,65,95,525
137,porygon,365,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/137.png,65,60,70,75,40,85,395
138,omanyte,75,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/138.png,35,40,100,55,35,90,355
139,omastar,350,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/139.png,70,60,125,70,55,115,495
140,kabuto,115,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/140.png,30,80,90,45,55,55,355
141,kabutops,405,13,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/141.png,60,115,105,70,80,65,495
142,aerodactyl,590,18,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/142.png,80,105,65,75,130,60,515
143,snorlax,4600,21,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/143.png,160,110,65,110,30,65,540
144,articuno,554,17,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/144.png,90,85,100,125,85,95,580
145,zapdos,526,16,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/145.png,90,90,85,90,100,125,580
146,moltres,600,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/146.png,90,100,90,85,90,125,580
147,dratini,33,18,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/147.png,41,64,45,50,50,50,300
148,dragonair,165,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/148.png,61,84,65,70,70,70,420
149,dragonite,2100,22,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/149.png,91,134,95,100,80,100,600
150,mewtwo,1220,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/150.png,106,110,90,90,130,154,680
151,mew,40,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/151.png,100,100,100,100,100,100,600
152,chikorita,64,9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/152.png,45,49,65,65,45,49,318
153,bayleef,158,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/153.png,60,62,80,80,60,63,405
154,meganium,1005,18,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/154.png,80,82,100,100,80,83,525
155,cyndaquil,79,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/155.png,39,52,43,50,65,60,309
156,quilava,190,9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/156.png,58,64,58,65,80,80,405
157,typhlosion,795,17,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/157.png,78,84,78,85,100,109,534
158,totodile,95,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/158.png,50,65,64,48,43,44,314
159,croconaw,250,11,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/159.png,65,80,80,63,58,59,405
160,feraligatr,888,23,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/160.png,85,105,100,83,78,79,530
161,sentret,60,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/161.png,35,46,34,45,20,35,215
162,furret,325,18,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/162.png,85,76,64,55,90,45,415
163,hoothoot,212,7,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/163.png,60,30,30,56,50,36,262
164,noctowl,408,16,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/164.png,100,50,50,96,70,86,452
165,ledyba,108,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/165.png,40,20,30,80,55,40,265
166,ledian,356,14,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/166.png,55,35,50,110,85,55,390
167,spinarak,85,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/167.png,40,60,40,40,30,40,250
168,ariados,335,11,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/168.png,70,90,70,70,40,60,400
169,crobat,750,18,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/169.png,85,90,80,80,130,70,535
170,chinchou,120,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/170.png,75,38,38,56,67,56,330
171,lanturn,225,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/171.png,125,58,58,76,67,76,460
172,pichu,20,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/172.png,20,40,15,35,60,35,205
173,cleffa,30,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/173.png,50,25,28,55,15,45,218
174,igglybuff,10,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/174.png,90,30,15,20,15,40,210
175,togepi,15,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/175.png,35,20,65,65,20,40,245
176,togetic,32,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/176.png,55,40,85,105,40,80,405
177,natu,20,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/177.png,40,50,45,45,70,70,320
178,xatu,150,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/178.png,65,75,70,70,95,95,470
179,mareep,78,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/179.png,55,40,40,45,35,65,280
180,flaaffy,133,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/180.png,70,55,55,60,45,80,365
181,ampharos,615,14,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/181.png,90,75,85,90,55,115,510
182,bellossom,58,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/182.png,75,80,95,100,50,90,490
183,marill,85,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/183.png,70,20,50,50,40,20,250
184,azumarill,285,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/184.png,100,50,80,80,50,60,420
185,sudowoodo,380,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/185.png,70,100,115,65,30,30,410
186,politoed,339,11,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/186.png,90,75,75,100,70,90,500
187,hoppip,5,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/187.png,35,35,40,55,50,35,250
188,skiploom,10,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/188.png,55,45,50,65,80,45,340
189,jumpluff,30,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/189.png,75,55,70,95,110,55,460
190,aipom,115,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/190.png,55,70,55,55,85,40,360
